"BehaviorSpace results (NetLogo 6.3.0)"
"Schelling_on_GIS-@Religion.nlogo"
"experiment_ethnic-religion"
"10/10/2022 05:48:48:063 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","town","free-space","scale-down-pop","data-source","measure","ethnicity","religion","threshold-mean","threshold-sd","tie-houses-to-religion","beta-eth","beta-rel","color-axis-max","dissimilarity-religion","turnover","always-search","always-move","ethn-rel-recommendations","neighbor-weight","others-ignore-ethn","stop-tick","[step]","simpson-index","EGJ","CHN","EGS","OTH","moranI"
"125","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.03","0.269","0.601","0.101","0.261","0.705"
"127","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.031","0.269","0.606","0.102","0.254","0.713"
"128","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.032","0.279","0.628","0.099","0.266","0.72"
"129","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.03","0.27","0.609","0.104","0.266","0.713"
"130","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.03","0.267","0.617","0.105","0.26","0.722"
"131","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.03","0.274","0.61","0.098","0.253","0.729"
"132","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.03","0.273","0.588","0.086","0.261","0.706"
"133","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.03","0.274","0.606","0.095","0.261","0.721"
"134","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.03","0.277","0.603","0.101","0.254","0.721"
"135","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.03","0.274","0.604","0.096","0.252","0.719"
"136","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.029","0.276","0.593","0.093","0.255","0.722"
"137","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.029","0.273","0.596","0.099","0.269","0.733"
"138","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.03","0.274","0.601","0.091","0.262","0.718"
"139","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.03","0.273","0.608","0.101","0.269","0.733"
"140","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.03","0.275","0.601","0.1","0.265","0.722"
"141","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.03","0.274","0.602","0.099","0.259","0.714"
"142","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.029","0.276","0.588","0.081","0.254","0.712"
"143","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.029","0.276","0.59","0.088","0.251","0.719"
"144","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.029","0.276","0.6","0.088","0.25","0.708"
"145","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.029","0.275","0.597","0.094","0.256","0.707"
"146","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.029","0.274","0.587","0.086","0.261","0.723"
"147","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.029","0.275","0.592","0.084","0.25","0.733"
"148","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.03","0.276","0.605","0.094","0.246","0.722"
"149","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.029","0.274","0.59","0.084","0.251","0.7"
"151","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.028","0.278","0.583","0.087","0.256","0.725"
"150","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.029","0.275","0.592","0.087","0.258","0.721"
"152","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.029","0.279","0.588","0.081","0.254","0.723"
"153","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.029","0.277","0.585","0.088","0.243","0.715"
"154","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.029","0.277","0.585","0.089","0.262","0.712"
"155","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.029","0.279","0.589","0.088","0.258","0.717"
"156","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.028","0.276","0.587","0.091","0.252","0.736"
"157","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.029","0.277","0.595","0.088","0.259","0.719"
"158","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.029","0.279","0.588","0.086","0.256","0.717"
"159","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.029","0.276","0.607","0.089","0.238","0.709"
"160","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","true","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.029","0.282","0.6","0.084","0.248","0.727"
