"BehaviorSpace results (NetLogo 6.3.0)"
"Schelling_on_GIS-@SES.nlogo"
"experiment_ethnic-SES"
"10/09/2022 20:36:08:575 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","town","free-space","scale-down-pop","data-source","measure","ethnicity","ses","threshold-mean","threshold-sd","tie-houses-to-ses","beta-eth","beta-ses","color-axis-max","dissimilarity-ses","turnover","always-search","always-move","ethn-ses-recommendations","neighbor-weight","others-ignore-ethn","stop-tick","[step]","simpson-index","EGJ","CHN","EGS","OTH","moranI"
"127","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.067","0.433","0.657","0.402","0.22","0.798"
"128","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.065","0.424","0.634","0.408","0.219","0.776"
"129","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.069","0.434","0.65","0.42","0.22","0.801"
"130","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","16","1","all","0","false","false","true","0.17","true","1000","999","0.067","0.43","0.642","0.418","0.231","0.796"
"132","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.047","0.358","0.567","0.279","0.214","0.781"
"131","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.047","0.373","0.564","0.284","0.222","0.765"
"133","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.047","0.367","0.559","0.294","0.224","0.752"
"134","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.045","0.366","0.568","0.255","0.219","0.745"
"135","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.046","0.369","0.55","0.297","0.217","0.736"
"136","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.045","0.358","0.561","0.274","0.209","0.758"
"137","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.043","0.358","0.547","0.27","0.22","0.767"
"138","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.046","0.365","0.567","0.266","0.218","0.759"
"139","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.049","0.379","0.562","0.299","0.227","0.779"
"140","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","20","1","all","0","false","false","true","0.17","true","1000","999","0.047","0.368","0.565","0.287","0.221","0.77"
"141","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.04","0.344","0.518","0.247","0.214","0.739"
"142","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.036","0.332","0.511","0.211","0.221","0.725"
"143","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.037","0.337","0.509","0.227","0.217","0.759"
"144","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.036","0.335","0.499","0.224","0.226","0.743"
"145","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.038","0.337","0.513","0.23","0.205","0.761"
"146","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.037","0.333","0.511","0.224","0.226","0.739"
"147","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.036","0.341","0.503","0.227","0.227","0.75"
"148","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.037","0.341","0.509","0.219","0.216","0.733"
"149","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.035","0.333","0.491","0.226","0.216","0.716"
"150","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","24","1","all","0","false","false","true","0.17","true","1000","999","0.036","0.332","0.505","0.218","0.225","0.752"
"151","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.031","0.314","0.468","0.183","0.225","0.717"
"152","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.031","0.316","0.476","0.185","0.221","0.724"
"153","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.032","0.315","0.471","0.203","0.215","0.719"
"154","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.031","0.314","0.47","0.2","0.216","0.721"
"155","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.033","0.317","0.476","0.199","0.222","0.707"
"156","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.031","0.314","0.479","0.192","0.221","0.718"
"157","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.03","0.318","0.459","0.19","0.221","0.696"
"158","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.031","0.312","0.464","0.195","0.221","0.722"
"159","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.031","0.314","0.468","0.197","0.223","0.708"
"160","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","true","8","28","1","all","0","false","false","true","0.17","true","1000","999","0.032","0.318","0.469","0.202","0.213","0.688"
